[2022-07-13 22:54:14,501] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:14,501] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:14,501] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:14,502] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:14,502] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:17,514] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:17,514] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:17,515] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:17,515] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:17,515] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:17,516] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:20,524] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:20,524] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:20,525] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:20,525] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:20,525] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:20,525] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:23,526] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:23,527] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:23,527] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:23,527] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:23,527] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:23,528] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:26,537] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:26,537] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:26,537] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:26,537] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:26,537] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:26,537] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:29,552] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:29,553] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:29,553] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:29,553] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:29,553] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:29,554] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:32,569] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:32,569] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
