[2022-07-13 21:07:22,777] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:07:22,777] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:07:22,778] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:07:25,778] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:07:25,778] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0477986686902048
[2022-07-13 21:07:25,779] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:07:25,779] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:07:25,779] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:07:25,779] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:08:07,324] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:08:07,828] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:08:09,082] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:08:09,531] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:08:19,990] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:08:20,509] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:08:20,858] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:08:21,354] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:08:23,372] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:08:23,372] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:08:23,372] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:08:23,372] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:08:23,372] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:08:23,372] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:08:26,375] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:08:26,375] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476840808428813
[2022-07-13 21:08:26,375] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:08:26,376] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:08:26,376] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:08:26,376] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:09:34,451] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:09:35,064] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:09:35,562] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:09:35,909] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:09:37,911] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:09:37,911] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:09:37,912] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:09:37,912] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:09:37,912] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:09:37,912] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:09:40,924] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:09:40,924] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476840808428813
[2022-07-13 21:09:40,925] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:09:40,925] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:09:40,925] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:09:40,925] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:09:43,926] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:09:43,926] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476840808428813
[2022-07-13 21:09:43,926] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:09:43,926] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:09:43,926] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:09:43,927] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:10:14,980] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:10:15,643] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:10:16,053] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:10:16,390] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:10:18,395] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:10:18,395] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:10:18,396] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:10:18,396] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:10:18,396] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:10:18,396] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:10:21,409] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:10:21,409] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476692953141944
[2022-07-13 21:10:21,409] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:10:21,409] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:10:21,410] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:10:21,410] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:10:24,423] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:10:24,423] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476692953141944
[2022-07-13 21:10:24,424] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:10:24,424] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:10:24,424] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:10:24,424] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:10:27,434] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:10:27,434] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476692953141944
[2022-07-13 21:10:27,434] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:10:27,434] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:10:27,434] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:10:27,434] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:11:58,953] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:11:59,329] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:11:59,788] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:12:00,193] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:12:02,194] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:12:02,194] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476692953141944
[2022-07-13 21:12:02,195] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:12:02,195] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:12:02,195] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:12:02,195] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:12:05,195] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:12:05,195] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476692953141944
[2022-07-13 21:12:05,195] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:12:05,195] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:12:05,195] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:12:05,195] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:12:08,208] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:12:08,208] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476692953141944
[2022-07-13 21:12:08,209] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:12:08,209] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:12:08,209] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:12:08,209] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:12:11,223] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:12:11,223] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476692953141944
[2022-07-13 21:12:11,223] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:12:11,223] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:12:11,223] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:12:11,224] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:17:21,884] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:17:22,253] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:17:22,646] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:17:23,353] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:17:25,360] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
