[2022-07-31 21:24:32,499] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:24:34,239] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:24:34,239] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:27:38,505] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:27:39,020] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:27:39,036] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:27:39,036] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:27:41,083] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:27:41,098] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:27:46,457] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:27:46,477] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:27:46,477] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:27:49,288] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:27:49,288] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:28:01,257] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:28:01,788] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:28:01,804] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:28:01,804] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:28:04,445] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:28:04,445] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:29:28,424] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:29:28,956] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:29:28,971] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:29:28,971] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:29:31,627] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:29:31,627] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:29:52,884] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:29:54,228] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:29:54,243] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:29:54,243] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:29:56,868] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:29:56,868] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:30:24,963] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:30:26,269] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:30:26,285] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:30:26,285] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:30:28,894] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:30:28,894] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:38:22,835] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:38:23,351] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:38:23,366] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:23,366] [RSIIndicator] [get_results] [INFO]: Percent result is: None
