[2022-07-06 23:09:19,394] [indiTest] [check] [INFO]: Sold 1470.8, Currency: BURGER
[2022-07-06 23:09:19,394] [indiTest] [check] [INFO]: Sold 2093.0, Currency: BURGER
[2022-07-06 23:09:19,394] [indiTest] [check] [INFO]: Sold 8668.0, Currency: BURGER
[2022-07-06 23:09:19,394] [indiTest] [check] [INFO]: Sold 4779.4, Currency: BURGER
[2022-07-06 23:09:19,394] [indiTest] [check] [INFO]: Sold 2765.3, Currency: BURGER
[2022-07-06 23:09:19,394] [indiTest] [check] [INFO]: Sold 5945.2, Currency: BURGER
[2022-07-06 23:09:19,395] [indiTest] [check] [INFO]: Sold 2088.8, Currency: BURGER
[2022-07-06 23:09:19,395] [indiTest] [check] [INFO]: Sold 1133.8, Currency: BURGER
[2022-07-06 23:09:19,395] [indiTest] [check] [INFO]: Sold 16884.0, Currency: BURGER
[2022-07-06 23:10:37,623] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 23:10:38,232] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 23:10:38,232] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 23:10:38,528] [indiTest] [check] [INFO]: Sold 2304.3, Currency: BURGER
[2022-07-06 23:10:38,528] [indiTest] [check] [INFO]: Sold 2304.3, Currency: BURGER
[2022-07-06 23:10:38,528] [indiTest] [check] [INFO]: Sold 10507.6, Currency: BURGER
[2022-07-06 23:10:38,528] [indiTest] [check] [INFO]: Sold 10507.6, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 1160.6, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 1160.6, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 1165.6, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 1165.6, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 2509.0, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 2509.0, Currency: BURGER
